city,region,type_of_unite,in_compound,owner_type,area,rooms,bathrooms,floor_number,elevator,finish_status,year_of_building,views,has_reviews,payment_method,price_per_meter,price,area_category,floor_category,building_category
Greater Cairo,كمبوند فيفث سكوير - المراسم,Apartment,True,Developer,130,2,2,4,False,Extra Super Luxury,2020,Main Street,True,Installment,66538,8650000,Large,mid,new
Greater Cairo,ان سي - كمبوند دريم لاند,Apartment,True,Real Estate Marketer,188,3,3,1,False,Semi-Finished,2027,Side Street,True,Installment,38000,7144000,X-Large,low,new
Greater Cairo,الأندلس,Apartment,False,Real Estate Marketer,185,3,2,3,True,Semi-Finished,2025,Side Street,False,Cash,20270,3750000,X-Large,low,new
Greater Cairo,Elan - Sarai Compound,Apartment,True,Real Estate Marketer,80,1,1,2,False,Semi-Finished,2026,Garden,True,Cash or Installment,31250,2500000,Small,low,new
Greater Cairo,النرجس الجديدة,Apartment,False,Real Estate Marketer,165,3,3,2,False,Semi-Finished,2028,Side Street,False,Installment,24409,4027500,X-Large,low,new
Greater Cairo,الحي الثالث,Apartment,False,Real Estate Marketer,200,3,3,0,False,Semi-Finished,2027,Garden,False,Installment,23750,4750000,X-Large,ground,new
Greater Cairo,اللوتس الجنوبيه,Apartment,False,Real Estate Marketer,150,4,3,2,True,Semi-Finished,2025,Side Street,True,Cash,28667,4300000,Large,low,new
Greater Cairo,الحي السابع,Apartment,False,Real Estate Marketer,185,3,3,2,False,Semi-Finished,2027,Corner,False,Cash or Installment,27849,5152026,X-Large,low,new
Greater Cairo,الحي الأول,Apartment,False,Real Estate Marketer,210,3,3,0,False,Semi-Finished,2027,Main Street,False,Installment,25539,5363291,X-Large,ground,new
Greater Cairo,زد تاور - كمبوند زيد الشيخ زايد,Studio,True,Real Estate Marketer,57,2,2,10,True,Super Luxury,2025,Main Street,True,Cash or Installment,90034,5131920,Small,high,new
Greater Cairo,كمبوند بادية - بالم هيلز,Apartment,True,Real Estate Marketer,85,1,1,3,False,Unfinished,2025,Side Street,True,Cash or Installment,34706,2950010,Medium,low,new
Greater Cairo,Second District,Apartment,False,Real Estate Marketer,199,3,3,2,False,Semi-Finished,2025,Main Street,False,Installment,31000,6169014,X-Large,low,new
Greater Cairo,القرنفل 1,Apartment,False,Real Estate Marketer,240,4,3,2,False,Semi-Finished,2025,Main Street,True,Cash or Installment,28750,6900000,X-Large,low,new
Greater Cairo,اللوتس الجنوبيه,Apartment,False,Developer,163,3,3,1,False,Super Luxury,2025,Main Street,True,Cash,36810,6000000,X-Large,low,new
North Coast,لاتين سيتي - سيتي ايدج,Apartment,False,Developer,149,3,2,7,True,Super Luxury,2026,Sea,True,Cash or Installment,21812,3250000,Large,mid,new
Greater Cairo,شارع أحمد ضيف الله,Apartment,False,Property Owner,150,3,2,2,True,Extra Super Luxury,2018,Main Street,True,Cash or Installment,16000,2400000,Large,low,new
Greater Cairo,شارع أحمد ابراهيم,Apartment,False,Property Owner,150,3,2,6,True,Super Luxury,2002,Corner,True,Cash,19333,2900000,Large,mid,medium
Greater Cairo,كمبوند بلو فيرت - السعودية المصرية,Apartment,True,Property Owner,194,3,3,3,True,Semi-Finished,2025,Garden,True,Cash,30928,6000000,X-Large,low,new
Greater Cairo,شارع النزهة,Apartment,False,Property Owner,127,2,3,2,False,Unfinished,2024,Main Street,True,Cash,39370,5000000,Large,low,new
Greater Cairo,كمبوند بارك لين - العتال,Apartment,True,Property Owner,170,3,3,0,False,Semi-Finished,2025,Garden,True,Cash or Installment,23529,4000000,X-Large,ground,new
Greater Cairo,كمبوند تريو جاردنز - ام سكويرد,Penthouse,True,Real Estate Marketer,155,2,3,4,False,Extra Super Luxury,2022,Garden,True,Cash,48387,7500000,Large,mid,new
Greater Cairo,ستون ريزيدنس - بي آر إي,Penthouse,False,Real Estate Marketer,220,4,4,3,False,Semi-Finished,2025,Main Street,True,Cash,37273,8200000,X-Large,low,new
Greater Cairo,كمبوند نول - كليك,Apartment,True,Developer,116,2,1,3,False,Extra Super Luxury,2028,Main Street,True,Cash or Installment,54224,6290000,Medium,low,new
Greater Cairo,كمبوند ريفالي - سامكو,Apartment,True,Developer,140,2,2,2,False,Super Luxury,2027,Garden,True,Cash or Installment,41429,5800000,Large,low,new
Greater Cairo,كمبوند سولانا - أورا,Apartment,True,Real Estate Marketer,126,2,3,1,False,Super Luxury,2028,Main Street,True,Cash or Installment,68365,8614000,Large,low,new
Greater Cairo,Origami Gardens - Taj City Compound,Apartment,True,Real Estate Marketer,141,3,2,1,False,Super Luxury,2025,Main Street,True,Cash,56738,8000000,Large,low,new
Greater Cairo,سنتر فيل - كمبوند هايد بارك,Apartment,True,Real Estate Marketer,185,1,1,1,False,Extra Super Luxury,2025,Garden,True,Installment,59459,11000000,X-Large,low,new
Greater Cairo,سنتر فيل - كمبوند هايد بارك,Apartment,True,Real Estate Marketer,192,4,4,1,False,Unfinished,2025,Garden,True,Installment,54688,10500000,X-Large,low,new
Greater Cairo,كمبوند ذا ايكون جاردنز - ستايل هوم,Apartment,True,Real Estate Marketer,155,3,3,1,False,Unfinished,2025,Garden,True,Cash or Installment,31523,4886000,Large,low,new
North Coast,Latin District - Saudi Egyptian Construction,Apartment,False,Real Estate Marketer,188,3,2,2,False,Extra Super Luxury,2025,Lake,True,Installment,21277,4000000,X-Large,low,new
Greater Cairo,El Lebeny,Apartment,False,Real Estate Marketer,150,3,2,7,True,Extra Super Luxury,2018,Main Street,True,Cash or Installment,15000,2250000,Large,mid,new
Greater Cairo,شارع السيد الميرغني,Apartment,False,Real Estate Marketer,126,3,1,5,True,Extra Super Luxury,1989,Main Street,True,Cash,33730,4250000,Large,mid,old
Greater Cairo,مدينة بدر,Apartment,False,Property Owner,171,3,2,1,False,Semi-Finished,2026,Main Street,True,Cash or Installment,17000,2907000,X-Large,low,new
Greater Cairo,كمبوند ايكون بارك - الفداء,Apartment,True,Real Estate Marketer,165,3,3,1,False,Luxury,2024,Side Street,True,Cash or Installment,31220,5151242,X-Large,low,new
